"filename", "language", "Python", "pip requirements", "Docker", "YAML", "HTML", "Markdown", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\static\js\agenda.js", "JavaScript", 0, 0, 0, 0, 0, 0, 777, 0, 30, 155, 962
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\static\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\static\js\producao.js", "JavaScript", 0, 0, 0, 0, 0, 0, 155, 0, 0, 27, 182
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\agenda.html", "HTML", 0, 0, 0, 0, 196, 0, 0, 0, 3, 36, 235
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\clientes.html", "HTML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 10, 84
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\clientes_form.html", "HTML", 0, 0, 0, 0, 412, 0, 0, 0, 0, 75, 487
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\configuracoes.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\crm.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\dashboard.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\estoque.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\financeiro.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\funcionarios.html", "HTML", 0, 0, 0, 0, 76, 0, 0, 0, 0, 10, 86
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\funcionarios_form.html", "HTML", 0, 0, 0, 0, 171, 0, 0, 0, 0, 32, 203
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\layout\base.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\layout\sidebar.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\login.html", "HTML", 0, 0, 0, 0, 103, 0, 0, 0, 0, 17, 120
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\pets.html", "HTML", 0, 0, 0, 0, 61, 0, 0, 0, 0, 9, 70
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\pets_form.html", "HTML", 0, 0, 0, 0, 119, 0, 0, 0, 0, 19, 138
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\producao.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 0, 17, 98
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\relatorios.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\servicos.html", "HTML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 14, 103
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\app\templates\servicos_form.html", "HTML", 0, 0, 0, 0, 113, 0, 0, 0, 0, 69, 182
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\docker-compose.yml", "YAML", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\requirements.txt", "pip requirements", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\andre\OneDrive\Desktop\petshopflowpremium\petflowpremium\scripts\bootstrap.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"Total", "-", 1844, 12, 5, 27, 1707, 24, 967, 1150, 45, 1298, 7079
